prompt,label,prediction
" Classify the following sentence as either positive or negative: ""The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .""",0.6944400072097778,The answer is positive.
" Classify the following sentence as either positive or negative: ""The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .""",0.833329975605011,The answer is positive.
" Classify the following sentence as either positive or negative: ""Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .""",0.625,The answer is positive.
" Classify the following sentence as either positive or negative: ""You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .""",0.5,The answer is negative.
" Classify the following sentence as either positive or negative: ""Yet the act is still charming here .""",0.7222200036048889,The answer is positive.
" Classify the following sentence as either positive or negative: ""Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .""",0.833329975605011,The answer is positive.
" Classify the following sentence as either positive or negative: ""Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .""",0.875,The answer is positive.
" Classify the following sentence as either positive or negative: ""Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .""",0.7222200036048889,The answer is positive.
" Classify the following sentence as either positive or negative: ""a screenplay more ingeniously constructed than `` Memento ''""",0.833329975605011,The answer is positive.
" Classify the following sentence as either positive or negative: ""`` Extreme Ops '' exceeds expectations .""",0.7361099720001221,The answer is positive.
" Classify the following sentence as either positive or negative: ""Good fun , good action , good acting , good dialogue , good pace , good cinematography .""",0.9027799963951111,The answer is positive.
" Classify the following sentence as either positive or negative: ""You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .""",0.44444000720977783,The answer is positive.
" Classify the following sentence as either positive or negative: ""Dramas like this make it human .""",0.8055599927902222,The answer is positive.
" Classify the following sentence as either positive or negative: ""A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .""",0.44444000720977783,The answer is negative.
" Classify the following sentence as either positive or negative: ""Still , this flick is fun , and host to some truly excellent sequences .""",0.8194400072097778,The answer is positive.
" Classify the following sentence as either positive or negative: ""Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .""",0.75,The answer is positive.
" Classify the following sentence as either positive or negative: ""You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .""",0.6111099720001221,The answer is negative.
" Classify the following sentence as either positive or negative: ""Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .""",0.44444000720977783,The answer is negative.
" Classify the following sentence as either positive or negative: ""Absorbing character study by André Turpin .""",0.8194400072097778,The answer is positive.
" Classify the following sentence as either positive or negative: ""If you love reading and\/or poetry , then by all means check it out .""",0.7777799963951111,The answer is positive.
" Classify the following sentence as either positive or negative: ""You 'll probably love it .""",0.8194400072097778,The answer is neutral.
" Classify the following sentence as either positive or negative: ""`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''""",0.6388900279998779,The answer is positive.
" Classify the following sentence as either positive or negative: ""near the end takes on a whole other meaning .""",0.5555599927902222,The answer is positive.
" Classify the following sentence as either positive or negative: ""Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .""",0.875,The answer is positive.
" Classify the following sentence as either positive or negative: ""The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .""",0.5555599927902222,The answer is negative.
" Classify the following sentence as either positive or negative: ""` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .""",0.5138900279998779,The answer is positive.
" Classify the following sentence as either positive or negative: ""The actors are fantastic .""",0.9444400072097778,The answer is positive.
" Classify the following sentence as either positive or negative: ""They are what makes it worth the trip to the theatre .""",0.7222200036048889,The answer is positive.
" Classify the following sentence as either positive or negative: ""( Taymor ) utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .""",0.9305599927902222,The answer is positive.
