prompt,label,prediction
"Please tell me the sentiment of the text in single quotes 'The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .'. make sure you respond as a single word either positive or negetive
",0.6944400072097778,Positive
"Please tell me the sentiment of the text in single quotes 'The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .'. make sure you respond as a single word either positive or negetive
",0.833329975605011,Positive
"Please tell me the sentiment of the text in single quotes 'Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .'. make sure you respond as a single word either positive or negetive
",0.625,Positive
"Please tell me the sentiment of the text in single quotes 'You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .'. make sure you respond as a single word either positive or negetive
",0.5,Negative
"Please tell me the sentiment of the text in single quotes 'Yet the act is still charming here .'. make sure you respond as a single word either positive or negetive
",0.7222200036048889,Positive
"Please tell me the sentiment of the text in single quotes 'Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .'. make sure you respond as a single word either positive or negetive
",0.833329975605011,Positive
"Please tell me the sentiment of the text in single quotes 'Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .'. make sure you respond as a single word either positive or negetive
",0.875,Positive
"Please tell me the sentiment of the text in single quotes 'Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .'. make sure you respond as a single word either positive or negetive
",0.7222200036048889,Positive
"Please tell me the sentiment of the text in single quotes 'a screenplay more ingeniously constructed than `` Memento '''. make sure you respond as a single word either positive or negetive
",0.833329975605011,Positive
"Please tell me the sentiment of the text in single quotes '`` Extreme Ops '' exceeds expectations .'. make sure you respond as a single word either positive or negetive
",0.7361099720001221,Positive
"Please tell me the sentiment of the text in single quotes 'Good fun , good action , good acting , good dialogue , good pace , good cinematography .'. make sure you respond as a single word either positive or negetive
",0.9027799963951111,Positive
"Please tell me the sentiment of the text in single quotes 'You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .'. make sure you respond as a single word either positive or negetive
",0.44444000720977783,Negative
"Please tell me the sentiment of the text in single quotes 'Dramas like this make it human .'. make sure you respond as a single word either positive or negetive
",0.8055599927902222,Positive
"Please tell me the sentiment of the text in single quotes 'A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .'. make sure you respond as a single word either positive or negetive
",0.44444000720977783,Negetive
"Please tell me the sentiment of the text in single quotes 'Still , this flick is fun , and host to some truly excellent sequences .'. make sure you respond as a single word either positive or negetive
",0.8194400072097778,Positive
"Please tell me the sentiment of the text in single quotes 'Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .'. make sure you respond as a single word either positive or negetive
",0.75,Positive
"Please tell me the sentiment of the text in single quotes 'You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .'. make sure you respond as a single word either positive or negetive
",0.6111099720001221,Negetive
"Please tell me the sentiment of the text in single quotes 'Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .'. make sure you respond as a single word either positive or negetive
",0.44444000720977783,Negetive
"Please tell me the sentiment of the text in single quotes 'Absorbing character study by André Turpin .'. make sure you respond as a single word either positive or negetive
",0.8194400072097778,Positive
"Please tell me the sentiment of the text in single quotes 'If you love reading and\/or poetry , then by all means check it out .'. make sure you respond as a single word either positive or negetive
",0.7777799963951111,Positive
"Please tell me the sentiment of the text in single quotes 'You 'll probably love it .'. make sure you respond as a single word either positive or negetive
",0.8194400072097778,Positive
"Please tell me the sentiment of the text in single quotes '`` Frailty '' has been written so well , that even a simple `` Goddammit ! '''. make sure you respond as a single word either positive or negetive
",0.6388900279998779,Negetive
"Please tell me the sentiment of the text in single quotes 'near the end takes on a whole other meaning .'. make sure you respond as a single word either positive or negetive
",0.5555599927902222,Negetive
